time,altitude,grade_smooth,velocity_smooth,heartrate,distance
0,52.6,4.8,0.0,95,0.0
1,52.6,3.1,1.52,95,1.5
2,52.6,10.7,1.25,93,2.5
3,52.8,9.9,1.393,90,4.2
4,52.8,14.8,1.612,89,6.4
5,53.6,15.2,1.87,89,9.4
6,53.8,16.9,2.132,88,12.2
7,54.4,11.2,2.44,88,14.7
8,54.6,11.4,2.578,88,17.1
9,54.8,11.7,2.714,87,20.0
10,55.0,13.6,2.672,86,22.7
11,55.6,12.0,2.562,85,25.0
12,56.0,12.1,2.53,83,27.4
13,56.0,6.6,2.504,82,29.6
14,56.2,6.8,2.326,82,31.6
15,56.4,8.4,2.306,81,34.2
16,56.4,10.0,2.414,83,37.1
17,56.8,8.3,2.366,84,39.2
18,57.0,11.7,2.37,85,41.4
19,57.4,8.1,2.41,86,43.7
20,57.4,7.9,2.42,88,46.3
21,57.8,7.7,2.398,90,49.0
22,57.8,7.8,2.478,92,51.6
23,58.2,5.8,2.532,92,54.1
24,58.2,11.6,2.588,93,56.6
25,58.4,13.7,2.596,93,59.3
26,59.0,15.3,2.574,95,61.9
27,59.6,15.9,2.552,95,64.3
28,59.8,10.0,2.606,96,67.1
29,60.0,10.3,2.548,96,69.4
30,60.2,10.9,2.47,96,71.7
31,60.2,12.7,2.392,96,73.9
32,60.8,10.6,2.324,96,75.9
33,61.0,11.5,2.196,96,78.1
34,61.4,7.9,2.202,96,80.4
35,61.4,7.7,2.264,96,83.0
36,61.6,7.5,2.432,96,86.0
37,61.8,11.2,2.52,96,88.6
38,62.2,11.9,2.582,96,91.0
39,62.6,10.0,2.66,96,93.7
40,62.8,11.4,2.626,96,96.1
41,62.8,13.5,2.464,96,98.4
42,63.0,15.1,2.396,96,100.5
43,63.6,16.5,2.446,96,103.3
44,64.2,16.6,2.372,96,105.6
45,64.6,13.1,2.388,96,108.1
46,64.8,9.8,2.424,96,110.5
47,65.0,8.4,2.406,97,112.6
48,65.2,8.1,2.448,97,115.5
49,65.4,7.8,2.446,97,117.8
50,65.6,8.7,2.368,97,119.9
51,65.8,8.6,2.458,97,122.8
52,66.0,11.6,2.49,97,125.0
53,66.2,12.0,2.312,97,127.1
54,66.4,11.6,2.338,97,129.5
55,67.0,12.0,2.408,97,131.9
56,67.2,11.9,2.342,98,134.5
57,67.4,8.4,2.412,99,137.1
58,67.6,8.8,2.452,99,139.3
59,67.8,9.3,2.36,100,141.3
60,68.0,9.2,2.376,100,143.8
61,68.2,7.5,2.284,101,145.9
62,68.4,8.0,2.162,101,147.9
63,68.6,6.2,2.166,101,150.1
64,68.6,6.6,2.132,102,151.9
65,68.8,8.0,2.006,102,153.9
66,68.8,14.9,1.926,102,155.5
67,69.0,13.6,2.028,103,158.0
68,69.4,15.8,2.006,103,160.2
69,70.2,15.1,2.146,103,162.7
70,70.4,11.9,2.356,103,165.6
71,70.6,5.2,2.456,103,167.8
72,70.8,3.6,2.39,103,170.0
73,70.8,3.5,2.362,104,172.0
