time,altitude,grade_smooth,velocity_smooth,heartrate,distance
74,70.8,6.8,2.294,104,174.1
75,70.8,8.2,2.22,103,176.7
76,71.0,10.0,2.258,103,179.1
77,71.6,11.7,2.342,103,181.7
78,71.8,11.8,2.43,103,184.1
79,72.0,8.3,2.478,103,186.5
80,72.2,8.4,2.394,103,188.7
81,72.4,6.7,2.374,103,191.0
82,72.6,6.3,2.414,103,193.8
83,72.8,5.7,2.378,103,196.0
84,72.8,9.0,2.404,103,198.5
85,73.0,9.8,2.55,103,201.4
86,73.2,13.2,2.378,103,202.9
87,73.6,13.8,2.21,103,204.8
88,73.8,16.9,2.034,103,206.2
89,74.0,18.1,1.82,103,207.6
90,74.4,18.7,1.734,103,210.1
91,74.8,18.7,1.85,104,212.1
92,75.2,16.0,1.818,104,213.9
93,75.6,16.3,1.858,104,215.5
94,76.0,16.8,2.068,104,218.0
95,76.0,18.0,2.006,105,220.1
96,76.4,15.0,1.962,105,221.9
97,76.8,13.6,2.028,105,224.0
98,77.4,15.5,2.004,106,225.5
99,77.4,16.2,1.872,106,227.3
100,77.6,14.2,1.916,106,229.7
101,77.8,14.6,1.962,107,231.7
102,78.2,16.9,1.798,108,233.0
103,78.4,18.1,1.96,108,235.3
104,79.2,14.4,2.104,109,237.9
105,79.4,15.6,2.126,110,240.4
106,79.8,11.9,2.208,112,242.8
107,80.0,12.3,2.502,113,245.5
108,80.2,13.7,2.37,115,247.1
109,80.6,12.3,2.36,117,249.7
110,80.8,13.4,2.27,118,251.7
111,81.2,16.5,2.05,118,253.0
112,81.2,15.5,1.95,119,255.3
113,81.6,15.2,2.062,119,257.5
114,82.2,17.1,1.934,120,259.3
115,82.4,13.4,1.91,121,261.3
116,82.6,9.1,2.11,125,263.6
117,83.0,8.7,2.11,128,265.8
118,83.0,8.6,2.096,131,267.9
119,83.2,6.6,2.192,133,270.3
120,83.4,8.1,2.308,135,272.8
121,83.6,8.0,2.336,136,275.3
122,83.8,8.1,2.418,138,277.9
123,84.0,8.3,2.474,138,280.3
124,84.2,8.6,2.434,139,282.5
125,84.4,7.0,2.458,139,285.1
126,84.6,7.3,2.406,140,287.3
127,84.8,5.9,2.328,140,289.6
128,84.8,3.8,2.292,140,291.8
129,85.0,3.9,2.204,140,293.5
130,85.0,11.0,2.032,140,295.3
131,85.0,10.4,2.08,140,297.7
132,85.2,10.1,2.028,140,299.7
133,85.8,14.8,1.814,140,300.8
134,86.0,15.4,1.962,139,303.3
135,86.2,13.5,2.026,139,305.4
136,86.4,7.9,1.896,139,307.2
137,86.8,7.7,1.934,138,309.4
138,86.8,5.9,2.148,138,311.6
139,86.8,4.4,2.034,138,313.5
140,87.0,8.6,2.074,137,315.8
141,87.0,11.7,2.02,137,317.3
142,87.2,20.3,1.832,136,318.5
143,87.8,18.4,1.88,136,321.0
144,88.2,20.2,2.024,136,323.6
145,89.0,17.1,1.974,136,325.6
146,89.2,16.8,2.084,135,327.7
147,89.6,11.8,2.382,135,330.4
148,89.8,11.8,2.336,135,332.7
149,90.2,10.2,2.374,135,335.5
150,90.4,10.2,2.374,135,337.5
151,90.6,9.2,2.38,136,339.6
152,90.8,7.2,2.362,136,342.3
153,91.0,7.1,2.36,137,344.5
154,91.2,7.0,2.164,137,346.3
155,91.2,10.8,2.21,137,348.5
156,91.4,12.3,2.246,138,350.8
157,91.6,14.1,2.276,139,353.6
158,92.2,13.7,2.216,140,355.5
159,92.6,13.9,2.284,140,357.7
160,92.8,13.0,2.266,141,359.9
161,93.0,11.8,2.342,141,362.5
162,93.2,12.1,2.304,142,365.1
163,93.8,14.7,2.456,143,367.8
164,94.0,18.7,2.348,143,369.4
165,94.2,16.5,2.314,144,371.4
166,94.6,13.8,2.182,144,373.4
167,95.0,14.0,1.93,145,374.8
168,95.2,14.5,1.896,145,377.3
169,95.4,10.5,2.002,146,379.4
170,95.6,13.1,1.998,146,381.4
171,96.0,13.5,2.078,146,383.8
172,96.2,12.4,2.288,146,386.2
173,96.6,10.8,2.142,146,388.0
174,96.8,11.1,2.07,146,389.8
175,97.0,10.8,2.256,146,392.7
176,97.2,8.3,2.226,146,395.0
177,97.4,8.9,2.156,146,397.0
178,97.8,6.9,2.222,146,399.1
179,97.8,8.2,2.404,146,401.8
180,98.0,5.9,2.25,146,404.0
181,98.0,8.4,2.332,146,406.6
182,98.4,6.4,2.448,146,409.3
183,98.6,9.9,2.484,146,411.5
184,98.8,8.4,2.374,145,413.7
185,98.8,6.6,2.5,145,416.5
186,99.2,6.0,2.436,145,418.8
187,99.4,10.0,2.376,145,421.1
188,99.4,8.6,2.428,145,423.7
189,99.8,10.6,2.516,145,426.3
190,100.0,13.2,2.392,144,428.4
191,100.2,13.9,2.324,144,430.4
192,100.6,15.3,2.268,144,432.5
193,100.8,16.7,2.116,144,434.3
194,101.2,14.5,2.012,144,436.3
195,101.6,12.3,2.086,144,438.9
196,102.0,11.0,2.154,144,441.2
197,102.2,11.2,2.202,144,443.5
198,102.4,11.7,2.598,144,447.3
199,102.8,12.8,2.646,144,449.5
200,103.2,16.5,2.518,144,451.4
201,103.6,16.8,2.422,144,453.3
202,103.8,13.9,2.508,145,456.0
203,104.2,13.3,2.188,145,458.2
204,104.6,15.8,2.14,145,460.3
205,104.8,15.3,2.296,145,462.9
206,105.2,12.7,2.398,145,465.3
207,105.6,16.4,2.284,145,467.5
208,106.0,15.4,2.348,146,469.9
209,106.2,17.1,2.51,146,472.8
210,106.8,14.0,2.434,146,475.1
211,107.0,15.0,2.34,145,477.0
212,107.6,10.1,2.342,145,479.2
213,107.6,10.2,2.286,145,481.4
214,107.8,13.6,2.13,145,483.5
215,107.8,15.7,1.988,145,485.0
216,108.0,19.1,1.986,145,486.9
217,108.6,18.5,1.916,145,488.7
218,109.4,21.9,1.854,144,490.6
219,109.8,19.0,1.888,144,492.9
220,110.0,13.3,2.068,144,495.4
221,110.4,13.9,2.188,144,497.9
222,110.8,15.7,2.316,143,500.3
223,111.0,14.7,2.41,143,502.7
224,111.4,13.2,2.306,143,504.4
225,111.8,15.9,2.296,143,506.9
226,112.0,14.6,2.184,143,508.8
227,112.2,13.6,2.118,142,510.9
228,112.6,11.6,2.018,142,512.8
229,113.0,15.1,2.196,142,515.4
230,113.2,16.8,2.064,142,517.2
231,113.2,15.9,2.066,142,519.1
232,113.8,15.0,2.118,142,521.5
233,114.4,19.1,2.148,142,523.5
234,114.6,19.1,2.014,142,525.5
235,114.8,17.5,2.132,142,527.8
236,115.2,13.8,2.09,142,529.5
237,115.6,15.1,1.886,142,530.9
238,115.8,16.3,1.89,142,533.0
239,116.0,11.3,1.93,143,535.1
240,116.4,11.6,1.92,143,537.4
241,116.8,11.2,2.112,143,540.1
242,117.0,8.7,2.468,143,543.3
243,117.2,11.2,2.576,143,545.8
244,117.4,11.9,2.754,143,548.9
245,118.0,14.3,2.682,143,550.8
246,118.2,16.8,2.644,143,553.3
247,118.4,13.4,2.336,144,555.0
248,118.8,14.7,2.24,144,557.0
249,119.2,16.1,2.144,144,559.6
250,119.4,18.1,2.086,144,561.3
251,119.6,18.0,1.904,144,562.8
252,120.0,17.3,1.908,144,564.5
253,120.4,19.1,1.788,144,566.0
254,120.8,19.6,1.712,144,568.2
255,121.0,18.0,1.752,144,570.0
256,121.4,18.5,1.778,144,571.7
257,121.6,17.4,1.714,144,573.1
258,122.0,17.6,1.924,145,575.6
259,122.6,17.5,1.942,145,577.9
260,122.8,15.7,1.93,145,579.7
261,123.0,13.8,1.936,145,581.4
262,123.6,13.3,2.252,145,584.3
263,123.8,13.6,2.29,145,587.0
264,124.2,14.4,2.314,145,589.5
265,124.4,15.2,2.4,145,591.7
266,124.8,14.0,2.442,145,593.6
267,125.2,14.8,2.218,146,595.4
268,125.4,14.0,2.102,146,597.6
269,125.6,17.7,2.0,146,599.5
270,125.8,13.9,1.886,146,601.1
271,126.0,15.4,1.896,147,603.1
272,126.8,15.8,1.908,147,605.0
273,126.8,18.1,1.87,147,606.9
274,127.2,12.1,1.958,148,609.2
275,127.6,16.8,2.192,148,612.1
276,128.0,15.4,2.212,148,614.2
277,128.2,14.5,2.316,148,616.5
278,128.8,14.6,2.384,148,618.8
279,129.0,17.7,2.338,149,620.9
280,129.2,18.1,2.204,148,623.1
281,129.6,17.2,2.186,148,625.1
282,130.0,19.7,2.03,148,626.7
283,130.4,22.0,1.766,148,627.7
284,130.6,19.8,1.672,148,629.3
285,131.2,19.0,1.488,148,630.5
286,131.4,17.7,1.598,148,633.1
287,131.8,17.0,1.652,149,634.9
288,132.0,15.6,1.908,149,637.2
289,132.4,15.5,1.938,149,639.0
290,132.6,17.3,2.11,149,641.1
291,133.0,15.9,2.046,149,643.3
292,133.4,15.3,2.066,149,645.3
293,133.6,15.8,1.852,149,646.5
294,133.8,16.1,1.912,148,648.5
295,134.2,15.6,1.932,148,650.7
296,134.4,15.3,1.836,148,652.5
297,134.8,13.9,1.85,148,654.5
298,135.2,14.8,2.074,148,656.8
299,135.4,12.4,2.094,148,659.0
300,135.6,10.4,2.016,148,660.8
301,136.0,12.7,2.158,148,663.3
302,136.2,14.1,2.254,148,665.8
303,136.4,14.5,2.302,147,668.3
304,136.8,15.8,2.212,147,670.1
305,137.2,18.7,2.272,147,672.2
306,137.6,16.8,2.204,147,674.3
307,137.8,13.6,2.02,147,675.9
308,138.2,11.6,1.922,147,678.0
309,138.4,10.8,2.038,147,680.3
310,138.6,9.4,2.062,147,682.5
311,138.8,14.1,2.064,147,684.6
312,139.0,11.6,2.224,147,687.0
313,139.2,12.5,2.132,147,688.6
314,139.8,11.2,1.99,147,690.2
315,139.8,11.3,1.972,147,692.3
316,140.2,5.3,2.138,147,695.3
317,140.2,7.1,2.134,147,697.7
318,140.4,5.6,2.132,147,699.3
319,140.4,11.4,2.262,148,701.5
320,140.6,14.6,2.266,148,703.7
321,140.8,16.7,2.146,148,706.0
322,141.4,18.3,2.102,148,708.2
323,142.0,18.7,2.192,148,710.2
324,142.2,16.3,2.15,149,712.3
325,142.6,12.6,2.18,149,714.6
326,142.8,14.3,2.136,149,716.7
327,143.2,13.8,2.212,149,719.3
328,143.4,13.6,2.228,149,721.4
329,143.8,13.5,2.232,149,723.4
330,144.0,15.6,2.032,149,724.7
331,144.2,13.7,2.054,149,727.0
332,144.6,14.2,2.08,149,729.7
333,145.0,14.5,2.05,149,731.6
334,145.2,13.7,2.04,149,733.6
335,145.6,11.5,2.258,149,736.0
336,145.8,13.1,2.214,149,738.1
337,146.0,11.6,2.04,149,739.8
338,146.2,10.9,2.096,148,742.1
339,146.6,13.7,2.136,148,744.3
340,146.8,14.1,2.066,148,746.4
341,147.0,11.1,2.194,148,749.0
342,147.6,11.3,2.328,148,751.5
343,147.8,12.0,2.264,148,753.4
344,147.8,10.5,2.168,148,755.2
345,148.0,12.2,2.126,148,757.0
346,148.2,15.9,2.006,148,759.1
347,148.6,18.4,1.904,148,761.0
348,149.0,22.2,1.906,148,763.0
349,149.6,23.7,1.924,148,764.8
350,149.8,21.4,1.806,148,766.0
351,150.4,19.6,1.748,148,767.8
352,150.8,18.3,1.804,148,770.0
353,151.0,19.9,1.852,148,772.2
354,151.2,16.1,1.882,148,774.2
355,151.6,15.7,1.932,148,775.7
356,152.0,18.6,1.848,148,777.0
357,152.2,20.0,1.792,148,779.0
358,152.6,17.3,1.85,148,781.5
359,153.0,17.8,1.762,148,783.0
360,153.2,18.1,1.7,149,784.2
361,153.4,18.5,1.804,149,786.1
362,154.0,17.4,1.864,149,788.3
363,154.2,17.6,1.718,149,790.0
364,154.6,19.4,1.668,149,791.3
365,154.8,16.9,1.828,149,793.3
366,155.0,16.7,1.666,149,794.4
367,155.4,14.2,1.616,150,796.4
368,155.8,15.8,1.78,150,799.0
369,156.0,16.2,1.896,150,800.8
370,156.2,17.2,1.856,150,802.6
371,156.6,16.5,2.06,150,804.7
372,157.0,19.3,1.978,151,806.3
373,157.4,21.1,1.808,151,808.0
374,157.6,21.4,1.814,151,809.9
375,158.0,22.0,1.71,151,811.2
376,158.2,20.7,1.564,151,812.5
377,158.6,18.9,1.538,151,814.0
378,158.8,19.4,1.394,151,815.0
379,159.2,18.2,1.284,151,816.3
380,159.4,16.9,1.302,151,817.7
381,159.6,19.3,1.426,151,819.7
382,160.0,18.2,1.662,151,822.3
383,160.4,19.5,1.936,151,824.6
384,161.0,20.2,2.014,151,826.4
385,161.2,19.0,1.98,151,827.6
386,161.6,16.7,1.856,151,828.9
387,161.8,10.6,1.654,151,830.5
388,162.0,9.3,1.63,151,832.8
389,162.2,7.9,1.806,150,835.4
390,162.2,7.7,2.032,150,837.7
391,162.6,9.2,2.148,150,839.7
392,162.8,11.8,2.516,150,843.1
393,163.2,10.0,2.69,150,846.2
394,163.4,13.3,2.492,150,847.9
395,163.6,13.3,2.396,150,849.7
396,163.8,13.5,2.414,150,851.7
397,164.2,12.1,2.098,150,853.6
398,164.4,11.6,1.802,150,855.3
399,164.8,10.1,2.054,150,858.1
400,164.8,11.7,1.99,150,859.7
401,165.0,8.0,2.014,150,861.8
402,165.2,13.4,1.974,150,863.5
403,165.6,15.0,2.064,150,865.6
404,165.6,15.5,2.002,150,868.1
405,166.2,17.7,2.084,150,870.1
406,166.4,17.1,1.866,150,871.1
407,166.8,20.5,1.984,151,873.4
408,167.2,18.2,1.842,151,874.8
409,167.4,18.6,1.586,151,876.1
410,167.6,19.2,1.53,151,877.7
411,168.0,17.5,1.746,151,879.9
412,168.2,17.1,1.528,151,881.0
413,168.6,18.2,1.638,151,883.0
414,168.8,17.2,1.556,151,883.8
415,169.0,15.5,1.466,151,885.0
416,169.2,16.3,1.348,151,886.6
417,169.6,15.7,1.526,151,888.7
418,169.8,15.8,1.472,151,890.3
419,170.0,17.4,1.766,151,892.7
420,170.4,16.3,1.794,151,894.0
421,170.8,16.0,1.968,151,896.5
422,171.2,16.2,1.884,151,898.1
423,171.4,13.7,1.884,151,899.8
424,171.6,14.9,1.784,151,901.6
425,171.8,15.0,1.956,152,903.8
426,172.0,15.4,1.856,151,905.7
427,172.4,15.5,1.824,151,907.2
428,172.6,17.1,1.658,151,908.0
429,173.0,18.2,1.706,151,910.1
430,173.4,17.2,1.538,151,911.5
431,173.4,17.0,1.496,151,913.2
432,173.8,16.2,1.662,151,915.5
433,174.0,19.4,1.732,151,916.7
434,174.2,18.1,1.51,151,917.7
435,174.4,19.2,1.428,151,918.6
436,174.6,18.5,1.356,151,920.0
437,175.2,17.8,1.19,151,921.5
438,175.4,16.4,1.162,151,922.5
439,175.6,16.0,1.4,150,924.7
440,175.8,13.0,1.544,150,926.3
441,176.0,13.6,1.594,150,928.0
442,176.2,14.5,1.626,150,929.6
443,176.4,16.4,1.742,150,931.2
444,176.6,17.4,1.518,149,932.3
445,177.0,18.0,1.588,149,934.3
446,177.2,17.9,1.55,149,935.7
447,177.6,16.3,1.548,149,937.3
448,177.8,16.3,1.412,149,938.3
449,178.0,15.4,1.464,148,939.6
450,178.2,15.2,1.302,149,940.8
451,178.2,16.3,1.312,150,942.3
452,178.6,17.6,1.35,150,944.1
453,178.8,17.7,1.542,151,946.0
454,179.2,19.0,1.656,151,947.9
455,179.6,19.7,1.706,151,949.3
456,180.0,20.8,1.736,151,951.0
457,180.2,22.2,1.734,150,952.8
458,180.6,25.2,1.652,150,954.3
459,180.8,23.3,1.54,150,955.6
460,181.0,23.1,1.444,150,956.5
461,181.4,25.2,1.368,149,957.8
462,182.0,23.4,1.246,149,959.0
463,182.0,24.5,1.08,149,959.7
464,182.2,20.7,1.068,148,960.9
465,182.8,18.1,1.308,148,963.1
466,183.0,19.3,1.342,148,964.5
467,183.4,18.3,1.434,148,966.2
468,183.4,15.3,1.704,148,968.2
469,184.0,15.2,1.822,148,970.0
470,184.2,12.9,1.754,148,971.9
471,184.4,14.3,1.81,148,973.5
472,184.6,11.1,1.774,148,975.0
473,184.8,11.0,1.776,148,977.0
474,185.0,15.2,1.87,148,979.4
475,185.2,18.7,1.786,148,980.8
476,185.4,18.6,1.836,148,982.7
477,186.2,17.8,2.074,148,985.4
478,186.6,18.3,1.928,147,986.7
479,186.8,18.0,1.686,147,987.8
480,187.0,15.4,1.66,147,989.1
481,187.2,12.5,1.796,147,991.7
482,187.4,12.6,1.692,147,993.9
483,187.8,13.8,1.824,147,995.8
484,188.0,14.9,2.016,147,997.9
485,188.4,12.4,2.228,147,1000.2
486,188.6,12.5,2.026,147,1001.8
487,189.0,10.4,2.144,148,1004.6
488,189.2,11.5,2.256,148,1007.1
489,189.4,12.0,2.238,148,1009.1
490,189.6,12.7,2.306,148,1011.8
491,190.0,12.5,2.44,148,1014.0
492,190.4,18.1,2.342,149,1016.3
493,190.6,15.7,2.212,149,1018.2
494,190.8,15.4,2.246,149,1020.3
495,191.4,14.1,1.986,149,1021.7
496,191.4,14.8,1.83,150,1023.2
497,191.8,17.2,1.892,150,1025.8
498,192.0,13.1,1.896,151,1027.6
499,192.2,15.7,1.738,151,1029.0
500,192.6,15.0,1.818,151,1030.8
501,192.8,15.1,1.83,151,1032.3
502,193.2,14.4,1.778,151,1034.7
503,193.4,12.9,1.764,151,1036.4
504,193.6,14.7,1.85,151,1038.2
505,193.8,15.7,1.858,152,1040.1
506,194.0,16.0,1.86,152,1041.6
507,194.4,18.1,1.718,152,1043.2
508,194.8,18.3,1.684,152,1044.9
509,195.0,18.9,1.57,152,1046.1
510,195.2,17.7,1.526,152,1047.7
511,195.6,15.5,1.526,152,1049.3
512,195.8,15.4,1.55,152,1051.0
513,196.0,15.3,1.472,152,1052.2
514,196.4,14.4,1.694,152,1054.6
515,196.6,15.8,1.754,152,1056.5
516,196.8,16.4,1.782,152,1058.2
517,197.2,13.5,1.882,152,1060.4
518,197.6,15.7,2.032,151,1062.4
519,198.0,15.1,1.956,151,1064.3
520,198.0,14.0,1.982,151,1066.4
521,198.4,12.7,1.946,151,1067.9
522,198.6,11.2,1.938,150,1070.1
523,198.8,14.3,1.886,150,1071.8
524,199.0,13.0,1.822,150,1073.4
525,199.2,13.7,1.736,150,1075.1
526,199.6,12.4,1.936,150,1077.6
527,200.0,13.4,2.02,150,1080.2
528,200.2,13.0,2.038,150,1082.0
529,200.4,12.9,2.258,150,1084.7
530,200.8,14.5,2.384,150,1087.0
531,201.0,16.5,2.15,150,1088.3
532,201.2,14.8,1.856,150,1089.5
533,201.6,14.5,1.85,150,1091.3
534,202.0,13.7,1.64,150,1092.9
535,202.0,11.9,1.708,150,1095.5
536,202.4,11.5,1.94,151,1098.0
537,202.6,16.1,2.11,151,1100.0
538,202.8,13.7,2.022,151,1101.4
539,203.2,12.5,2.08,151,1103.3
540,203.6,13.4,1.99,152,1105.5
541,203.6,13.0,1.84,151,1107.2
542,203.8,11.4,1.85,151,1109.3
543,204.2,12.9,2.11,151,1111.9
544,204.6,15.5,2.158,151,1114.1
545,204.8,15.4,2.106,150,1116.0
546,205.0,14.0,2.178,150,1118.1
547,205.4,13.9,2.064,150,1119.6
548,205.6,14.3,1.816,150,1121.0
549,205.8,15.2,1.842,149,1123.3
550,206.2,14.7,1.928,149,1125.6
551,206.4,15.9,1.804,149,1127.2
552,206.6,17.4,1.82,149,1128.7
553,207.0,15.9,1.89,149,1130.4
554,207.4,18.5,1.79,149,1132.3
555,207.6,17.8,1.608,149,1133.7
556,207.8,18.0,1.712,149,1135.7
557,208.2,17.6,1.582,148,1136.6
558,208.4,16.8,1.506,148,1138.0
559,208.6,17.5,1.532,148,1139.9
560,209.0,15.3,1.572,148,1141.5
561,209.2,15.9,1.358,148,1142.5
562,209.4,15.7,1.564,148,1144.4
563,209.6,13.9,1.602,148,1146.0
564,209.8,13.3,1.428,148,1147.1
565,210.2,13.8,1.558,148,1149.3
566,210.4,14.5,1.786,148,1151.4
567,210.6,13.0,1.718,148,1153.0
568,210.8,14.0,1.712,148,1154.6
569,211.2,14.1,1.992,147,1157.1
570,211.4,14.0,2.012,147,1159.4
571,211.8,14.2,2.006,147,1161.5
572,212.0,14.4,1.992,147,1163.0
573,212.2,17.3,1.972,147,1164.4
574,212.4,17.9,1.756,147,1165.8
575,212.8,15.8,1.754,147,1168.2
576,213.2,17.3,1.662,146,1169.8
577,213.6,16.7,1.71,146,1171.5
578,213.6,15.9,1.734,146,1173.1
579,214.0,13.2,1.792,146,1174.8
580,214.2,12.8,1.694,146,1176.6
581,214.4,15.6,1.692,146,1178.2
582,214.6,14.3,1.768,145,1180.4
583,215.0,16.7,1.87,145,1182.4
584,215.4,16.4,1.972,145,1184.7
585,215.6,15.4,1.872,145,1186.0
586,216.0,13.6,1.832,145,1187.4
587,216.2,14.6,1.772,145,1189.2
588,216.2,16.5,1.67,145,1190.8
589,216.4,14.9,1.618,145,1192.7
590,216.8,14.4,1.692,145,1194.4
591,217.0,17.5,1.646,146,1195.6
592,217.4,16.7,1.53,146,1196.9
593,217.6,15.6,1.47,146,1198.1
594,217.8,15.6,1.516,146,1200.3
595,218.2,12.7,1.556,146,1202.2
596,218.4,11.3,1.816,146,1204.7
597,218.8,13.7,2.058,146,1207.2
598,219.0,14.9,2.208,146,1209.2
599,219.0,12.8,2.116,146,1210.9
600,219.6,13.7,2.048,146,1212.5
601,219.8,16.1,1.876,146,1214.1
602,220.0,13.5,2.006,146,1217.2
603,220.4,12.2,2.042,146,1219.4
604,220.6,13.3,1.988,146,1220.8
605,220.6,15.2,2.054,146,1222.7
606,221.0,15.8,1.97,146,1223.9
607,221.4,15.7,1.782,146,1226.1
608,221.6,18.2,1.662,146,1227.7
609,222.0,16.2,1.728,146,1229.5
610,222.2,17.9,1.658,146,1231.0
611,222.4,16.0,1.682,146,1232.3
612,222.6,14.4,1.522,146,1233.7
613,222.8,12.0,1.472,146,1235.1
614,223.2,11.5,1.34,146,1236.2
615,223.2,12.0,1.332,146,1237.7
616,223.4,11.6,1.376,147,1239.2
617,223.4,9.3,1.482,147,1241.1
618,223.6,12.1,1.552,147,1242.8
619,224.0,16.4,1.838,147,1245.4
620,224.2,17.7,1.838,147,1246.9
621,224.6,17.1,2.002,147,1249.2
622,225.2,16.1,2.2,147,1252.1
623,225.6,17.3,2.262,148,1254.1
624,225.8,15.0,2.106,148,1255.9
625,226.0,13.1,2.24,148,1258.1
626,226.6,13.5,2.314,148,1260.8
627,226.8,13.8,2.134,148,1262.8
628,227.0,10.8,2.138,148,1264.8
629,227.2,12.9,2.08,148,1266.3
630,227.4,14.9,2.036,148,1268.3
631,227.6,15.9,1.86,148,1270.1
632,228.0,15.4,1.78,147,1271.7
633,228.4,16.7,1.744,147,1273.5
634,228.6,16.3,1.718,147,1274.9
635,228.8,14.3,1.692,147,1276.7
636,229.2,14.5,1.788,147,1279.0
637,229.4,13.9,1.886,147,1281.1
638,229.6,13.8,1.876,147,1282.9
639,230.0,11.6,1.942,147,1284.6
640,230.2,12.2,1.942,147,1286.4
641,230.4,12.5,1.852,147,1288.3
642,230.6,9.7,1.564,148,1288.9
643,230.6,9.5,1.638,148,1291.1
644,230.8,9.7,1.606,147,1292.6
645,231.0,10.5,1.536,147,1294.1
646,231.2,11.8,1.73,147,1296.9
647,231.4,11.0,1.928,147,1298.6
648,231.8,13.7,1.856,147,1300.4
649,232.0,12.3,2.068,147,1303.0
650,232.2,10.4,2.186,147,1305.0
651,232.6,10.8,2.05,148,1307.2
652,232.8,12.9,2.272,148,1309.9
653,233.0,14.4,2.318,148,1312.0
654,233.2,14.3,2.216,148,1314.1
655,233.6,19.7,2.172,148,1315.9
656,234.0,20.0,1.946,148,1316.9
657,234.2,22.5,1.696,148,1318.4
658,234.8,20.6,1.626,148,1320.1
659,235.0,18.5,1.588,148,1322.0
660,235.6,16.1,1.768,148,1324.7
661,235.8,16.2,1.928,149,1326.6
662,236.2,16.2,2.08,149,1328.8
663,236.4,13.4,1.984,149,1330.0
664,236.6,13.7,1.85,149,1331.2
665,236.8,11.6,1.67,149,1333.1
666,237.0,8.5,1.73,149,1335.2
667,237.2,8.9,1.596,149,1336.8
668,237.4,9.1,1.832,149,1339.2
669,237.4,8.5,2.104,150,1341.8
670,237.8,10.8,2.25,150,1344.3
671,238.0,15.4,2.19,150,1346.2
672,238.2,12.8,2.342,150,1348.5
673,238.6,15.6,2.232,150,1350.3
674,239.0,16.6,2.074,150,1352.1
675,239.2,14.8,2.182,150,1355.3
676,239.8,14.0,2.308,150,1357.7
677,240.0,16.1,2.168,150,1359.3
678,240.2,15.4,2.156,150,1361.1
679,240.4,13.6,2.004,150,1362.2
680,240.6,15.6,1.734,150,1363.9
681,240.8,15.9,1.586,150,1365.6
682,241.2,16.9,1.724,150,1368.0
683,241.6,17.2,1.702,150,1369.6
684,241.8,17.2,1.808,149,1371.2
685,242.2,15.4,1.774,149,1372.8
